실험번호,전극,첨가조건,측정시간(분),측정전압(mV)
1,탄소 막대,물,1,147
1,탄소 막대,물,2,176
1,탄소 막대,물,3,210
1,탄소 막대,물,4,232
1,탄소 막대,물,5,254
1,탄소 막대,물,6,285
1,탄소 막대,물,7,301
1,탄소 막대,물,8,303
1,탄소 막대,물,9,325
1,탄소 막대,물,10,333
2,탄소 막대,염화나트륨 수용액,1,25
2,탄소 막대,염화나트륨 수용액,2,28
2,탄소 막대,염화나트륨 수용액,3,120
2,탄소 막대,염화나트륨 수용액,4,173
2,탄소 막대,염화나트륨 수용액,5,287
2,탄소 막대,염화나트륨 수용액,6,374
2,탄소 막대,염화나트륨 수용액,7,408
2,탄소 막대,염화나트륨 수용액,8,437
2,탄소 막대,염화나트륨 수용액,9,465
2,탄소 막대,염화나트륨 수용액,10,505
3,탄소 막대,황새기젓,0,12
3,탄소 막대,황새기젓,10,423
4,탄소 막대,드라이아이스(혐기성),10,417
5,탄소 막대,갯벌 세균 배양액,1,155
5,탄소 막대,갯벌 세균 배양액,2,224
5,탄소 막대,갯벌 세균 배양액,3,286
5,탄소 막대,갯벌 세균 배양액,4,327
5,탄소 막대,갯벌 세균 배양액,5,361
5,탄소 막대,갯벌 세균 배양액,6,393
5,탄소 막대,갯벌 세균 배양액,7,435
5,탄소 막대,갯벌 세균 배양액,8,468
5,탄소 막대,갯벌 세균 배양액,9,503
5,탄소 막대,갯벌 세균 배양액,10,535
6,탄소 막대,황새기젓 배양액,1,135
6,탄소 막대,황새기젓 배양액,2,181
6,탄소 막대,황새기젓 배양액,3,213
6,탄소 막대,황새기젓 배양액,4,243
6,탄소 막대,황새기젓 배양액,5,271
6,탄소 막대,황새기젓 배양액,6,292
6,탄소 막대,황새기젓 배양액,7,311
6,탄소 막대,황새기젓 배양액,8,327
6,탄소 막대,황새기젓 배양액,9,348
6,탄소 막대,황새기젓 배양액,10,365
